timestamp_procesado,timestamp_lectura_csv,ruta_pasajero,tiempo_total_estimado_desde_entrada_min
2026-05-16 11:23:54,2026-05-16 11:55:18,checkin_seguridad_pasaportes_embarque,40.67
2026-05-16 11:23:54,2026-05-16 11:55:18,checkin_seguridad_embarque,38.67
2026-05-16 11:23:54,2026-05-16 11:55:18,bagdrop_seguridad_pasaportes_embarque,33.25
2026-05-16 11:23:54,2026-05-16 11:55:18,bagdrop_seguridad_embarque,31.25
2026-05-16 11:23:54,2026-05-16 11:55:18,directo_seguridad_pasaportes_embarque,25.5
2026-05-16 11:23:54,2026-05-16 11:55:18,directo_seguridad_embarque,23.5
2026-05-16 11:23:57,2026-05-16 11:56:18,checkin_seguridad_pasaportes_embarque,42.54
2026-05-16 11:23:57,2026-05-16 11:56:18,checkin_seguridad_embarque,40.54
2026-05-16 11:23:57,2026-05-16 11:56:18,bagdrop_seguridad_pasaportes_embarque,35.0
2026-05-16 11:23:57,2026-05-16 11:56:18,bagdrop_seguridad_embarque,33.0
2026-05-16 11:23:57,2026-05-16 11:56:18,directo_seguridad_pasaportes_embarque,26.5
2026-05-16 11:23:57,2026-05-16 11:56:18,directo_seguridad_embarque,24.5
2026-05-16 11:24:00,2026-05-16 11:57:18,checkin_seguridad_pasaportes_embarque,44.33
2026-05-16 11:24:00,2026-05-16 11:57:18,checkin_seguridad_embarque,42.33
2026-05-16 11:24:00,2026-05-16 11:57:18,bagdrop_seguridad_pasaportes_embarque,36.45
2026-05-16 11:24:00,2026-05-16 11:57:18,bagdrop_seguridad_embarque,34.45
2026-05-16 11:24:00,2026-05-16 11:57:18,directo_seguridad_pasaportes_embarque,27.7
2026-05-16 11:24:00,2026-05-16 11:57:18,directo_seguridad_embarque,25.7
2026-05-16 11:24:03,2026-05-16 11:58:18,checkin_seguridad_pasaportes_embarque,46.69
2026-05-16 11:24:03,2026-05-16 11:58:18,checkin_seguridad_embarque,44.69
2026-05-16 11:24:03,2026-05-16 11:58:18,bagdrop_seguridad_pasaportes_embarque,38.65
2026-05-16 11:24:03,2026-05-16 11:58:18,bagdrop_seguridad_embarque,36.65
2026-05-16 11:24:03,2026-05-16 11:58:18,directo_seguridad_pasaportes_embarque,28.9
2026-05-16 11:24:03,2026-05-16 11:58:18,directo_seguridad_embarque,26.9
2026-05-16 11:24:06,2026-05-16 11:59:18,checkin_seguridad_pasaportes_embarque,49.26
2026-05-16 11:24:06,2026-05-16 11:59:18,checkin_seguridad_embarque,47.26
2026-05-16 11:24:06,2026-05-16 11:59:18,bagdrop_seguridad_pasaportes_embarque,40.8
2026-05-16 11:24:06,2026-05-16 11:59:18,bagdrop_seguridad_embarque,38.8
2026-05-16 11:24:06,2026-05-16 11:59:18,directo_seguridad_pasaportes_embarque,30.3
2026-05-16 11:24:06,2026-05-16 11:59:18,directo_seguridad_embarque,28.3
2026-05-16 11:24:09,2026-05-16 12:00:18,checkin_seguridad_pasaportes_embarque,50.84
2026-05-16 11:24:09,2026-05-16 12:00:18,checkin_seguridad_embarque,48.84
2026-05-16 11:24:09,2026-05-16 12:00:18,bagdrop_seguridad_pasaportes_embarque,42.05
2026-05-16 11:24:09,2026-05-16 12:00:18,bagdrop_seguridad_embarque,40.05
2026-05-16 11:24:09,2026-05-16 12:00:18,directo_seguridad_pasaportes_embarque,31.3
2026-05-16 11:24:09,2026-05-16 12:00:18,directo_seguridad_embarque,29.3
2026-05-16 11:24:12,2026-05-16 12:01:18,checkin_seguridad_pasaportes_embarque,54.39
2026-05-16 11:24:12,2026-05-16 12:01:18,checkin_seguridad_embarque,52.39
2026-05-16 11:24:12,2026-05-16 12:01:18,bagdrop_seguridad_pasaportes_embarque,44.85
2026-05-16 11:24:12,2026-05-16 12:01:18,bagdrop_seguridad_embarque,42.85
2026-05-16 11:24:12,2026-05-16 12:01:18,directo_seguridad_pasaportes_embarque,33.1
2026-05-16 11:24:12,2026-05-16 12:01:18,directo_seguridad_embarque,31.1
2026-05-16 11:24:15,2026-05-16 12:02:18,checkin_seguridad_pasaportes_embarque,57.16
2026-05-16 11:24:15,2026-05-16 12:02:18,checkin_seguridad_embarque,55.16
2026-05-16 11:24:15,2026-05-16 12:02:18,bagdrop_seguridad_pasaportes_embarque,47.7
2026-05-16 11:24:15,2026-05-16 12:02:18,bagdrop_seguridad_embarque,45.7
2026-05-16 11:24:15,2026-05-16 12:02:18,directo_seguridad_pasaportes_embarque,34.7
2026-05-16 11:24:15,2026-05-16 12:02:18,directo_seguridad_embarque,32.7
2026-05-16 11:24:18,2026-05-16 12:03:18,checkin_seguridad_pasaportes_embarque,61.89
2026-05-16 11:24:18,2026-05-16 12:03:18,checkin_seguridad_embarque,59.89
2026-05-16 11:24:18,2026-05-16 12:03:18,bagdrop_seguridad_pasaportes_embarque,51.35
